Date,Typical Price,Return
2023-06-16,0.3351,0.011404685437414706
2023-06-17,0.3412,0.01803982087425926
2023-06-18,0.3385,-0.007944723265194341
2023-06-19,0.3372,-0.003847866224629384
2023-06-20,0.3438,0.019383866821048375
2023-06-21,0.3659,0.06229997907641219
2023-06-22,0.375,0.024565953945249748
2023-06-23,0.3841,0.02397690938144829
2023-06-24,0.4046,0.05199598938178593
2023-06-25,0.3984,-0.015442399023202
2023-06-26,0.3813,-0.04387005884692509
2023-06-27,0.3865,0.013545401163958627
2023-06-28,0.369,-0.04633522398694952
2023-06-29,0.3668,-0.005979903658217346
2023-06-30,0.3785,0.03139933249519361
2023-07-01,0.4072,0.07308839235880957
2023-07-02,0.4076,0.00098183611225686
2023-07-03,0.4065,-0.0027023723607045255
2023-07-04,0.4024,-0.010137310202335806
2023-07-05,0.3891,-0.03361023879502152
2023-07-06,0.3823,-0.01763073928814084
2023-07-07,0.3784,-0.01025380352464377
2023-07-08,0.3859,0.019626431365849836
2023-07-09,0.383,-0.00754327936292714
2023-07-10,0.3824,-0.0015678080033997327
2023-07-11,0.3882,0.015053489557663502
2023-07-12,0.3935,0.013560397122548133
2023-07-13,0.4235,0.07347244623465105
2023-07-14,0.4203,-0.007584772081038036
2023-07-15,0.4163,-0.009562587810141267
2023-07-16,0.4131,-0.007716459798210856
2023-07-17,0.4134,0.0007259528449489326
2023-07-18,0.4069,-0.015848192240023616
2023-07-19,0.4017,-0.012861913642407697
2023-07-20,0.4005,-0.002991774856822558
2023-07-21,0.4009,0.0009982531400472294
2023-07-22,0.3993,-0.003999005579285632
2023-07-23,0.4037,0.010959013789719602
2023-07-24,0.3933,-0.026099348421131298
2023-07-25,0.385,-0.021329345149979518
2023-07-26,0.3877,0.006988510389099123
2023-07-27,0.3869,-0.0020655829704160746
2023-07-28,0.3874,0.001291489266428153
2023-07-29,0.3901,0.00694536553971531
2023-07-30,0.3899,-0.0005128205240591212
2023-07-31,0.3846,-0.013686462833872344
2023-08-01,0.3826,-0.005213776148526851
2023-08-02,0.3774,-0.013684424071702634
2023-08-03,0.37,-0.019802627296179754
2023-08-04,0.3649,-0.01387966219586814
2023-08-05,0.3663,0.003829326342366663
2023-08-06,0.3727,0.017321136700443895
2023-08-07,0.3683,-0.01187598303419298
2023-08-08,0.3693,0.0027114984074978737
2023-08-09,0.3688,-0.001354830176078703
2023-08-10,0.3679,-0.0024433295717101538
2023-08-11,0.3686,0.001900883124994159
2023-08-12,0.3703,0.004601442683844125
2023-08-13,0.3676,-0.007318097438035168
2023-08-14,0.3651,-0.006824101819940758
2023-08-15,0.3502,-0.04166686880983966
2023-08-16,0.3324,-0.05216535687045849
2023-08-17,0.3051,-0.08569947125866911
2023-08-18,0.3039,-0.003940891799876478
2023-08-19,0.3069,0.00982326170294302
2023-08-20,0.3081,0.0039024439769317454
2023-08-21,0.3023,-0.019004503817209747
2023-08-22,0.3006,-0.005639424466538325
2023-08-23,0.3084,0.025617164370300326
2023-08-24,0.3071,-0.0042242142423978375
2023-08-25,0.3038,-0.010803837285104088
2023-08-26,0.3022,-0.005280540323033264
2023-08-27,0.2999,-0.007639964083675896
2023-08-28,0.2994,-0.0016686137694354591
2023-08-29,0.3075,0.026694615261044552
2023-08-30,0.3085,0.003246756098869873
2023-08-31,0.2974,-0.036643809319387835
2023-09-01,0.2928,-0.015588251938898163
2023-09-02,0.2913,-0.005136118121767622
2023-09-03,0.291,-0.001030396793896522
2023-09-04,0.2926,0.0054832214145316225
2023-09-05,0.2924,-0.0006837607104006424
2023-09-06,0.2942,0.00613708029171378
2023-09-07,0.2967,0.00846171912943903
2023-09-08,0.2951,-0.005407245347882569
2023-09-09,0.294,-0.003734514610212102
2023-09-10,0.2854,-0.029688062295945512
2023-09-11,0.2728,-0.04515277907342897
